company,domain,source_url,official_domain_state,official_domain_source,city,vertical,target_segment,website_live,fetch_state,pages_found,phone,mobile_phone,email,address,google_maps_search_url,registroimprese_url,D1_hits,D2_hits,D3_hits,D4_hits,D5_hits,contactability,observed_dimensions,high_value_hits,structure_hits,youth_growth_hits,commercial_gap_count,facebook_url,instagram_url,linkedin_url,tiktok_url,facebook_reputation_hits,instagram_reputation_hits,linkedin_reputation_hits,tiktok_reputation_hits,social_presence_count,social_reputation_channels,preliminary_score,decision
Odontoiatrika,odontoiatrika.it,https://odontoiatrika.it/,,,Savona,dentale,first_visit_path,1,OK,2,0194503960,3489211874,info@odontoiatrika.it,"Piazza Ilaria Alpi 2N/4N, 17100 Savona",https://www.google.com/maps/search/Odontoiatrika%20Savona,,0,1,6,1,1,3,4,3,6,1,4,https://www.facebook.com/OdontoiatrikaDentalMedicalCenter/,https://www.instagram.com/odontoiatrika_savona/,,,0,1,1,1,2,3,100,ESCALATE
Studio Medico Dentistico Pisano - Savona,studiodentisticopisano.it,https://studiodentisticopisano.it/,,,Savona,dentale,first_visit_path,1,OK,6,0192216555,3896587066,pisanomariafederica@gmail.com,"Via Nizza 76/R, 17100 Savona",https://www.google.com/maps/search/Studio%20Medico%20Dentistico%20Pisano%20-%20Savona%20Savona,,2,4,7,2,3,4,5,4,7,3,1,https://www.facebook.com/dott.ssa.mariafedericapisano/,https://www.instagram.com/odontoiatriaestetica/,,,3,2,2,2,2,4,100,ESCALATE
Clindent Savona,clindent.it,https://www.clindent.it/centro-dentale/savona/,,,Savona,dentale,first_visit_path,1,OK,6,0198933330,,info.savona@clindent.it,"Via C. Astengo 21, 17100 Savona",https://www.google.com/maps/search/Clindent%20Savona%20Savona,,1,0,5,4,4,4,4,3,4,0,3,https://www.facebook.com/clindentitalia/,https://www.instagram.com/clindent_it/,,,1,3,2,2,2,4,100,ESCALATE
Centro Odontoiatrico San Giovanni Savona,sangiovannisavona.it,https://www.sangiovannisavona.it/,,,Savona,dentale,first_visit_path,1,OK,3,,,sangiovannisavona@gmail.com,"Corso Ricci 177/R, 17100 Savona",https://www.google.com/maps/search/Centro%20Odontoiatrico%20San%20Giovanni%20Savona%20Savona,,3,1,5,0,3,4,4,2,4,0,1,https://www.facebook.com/pg/sangiovannisavona/about/?ref=page_internal,,,,1,3,2,2,1,4,95,ESCALATE
DentalPro Savona,dentalpro.it,https://www.dentalpro.it/centri/dentista-savona/,,,Savona,dentale,first_visit_path,1,OK,6,019814315,,rec.savona@dentalpro.it,"Piazza Giulio II, 17100 Savona",https://www.google.com/maps/search/DentalPro%20Savona%20Savona,,1,5,8,0,7,4,4,3,5,4,0,https://www.facebook.com/DentalProItalia/?ref=ts&fref=ts,https://www.instagram.com/_dentalpro_/,https://www.linkedin.com/company/dentalpro,,3,5,4,4,3,4,100,ESCALATE
Casa della Salute Savona - Odontoiatria,cds.it,https://cds.it/struttura/savona/,,,Savona,dentale,first_visit_path,0,HTTP_403,0,0199380816,3290484123,,"Corso Agostino Ricci 203R, 17100 Savona",https://www.google.com/maps/search/Casa%20della%20Salute%20Savona%20-%20Odontoiatria%20Savona,,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,COLLECTION_RESTRICTED
SmileCenter Savona,smilecentersavona.it,https://smilecentersavona.it/,,,Savona,dentale,first_visit_path,1,OK,5,019822682,,info@smilecentersavona.it,"Via Don Minzoni 30-32-34R, 17100 Savona",https://www.google.com/maps/search/SmileCenter%20Savona%20Savona,,2,1,5,1,2,4,5,5,3,1,2,https://www.facebook.com/smilecentersavona/,,,,1,1,1,1,1,4,100,ESCALATE
Studio Odontoiatrico Bellini,studiodentisticobellinisv.it,https://www.studiodentisticobellinisv.it/,,,Savona,dentale,first_visit_path,1,OK,5,0198489478,,,"Via Paolo Boselli 10/4, 17100 Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Bellini%20Savona,,1,1,8,0,0,1,3,1,4,4,3,,,,,0,1,1,1,0,3,100,ESCALATE
Studio Dentistico Roberto Cristiano Martinengo,studiodentisticomartinengo.com,https://www.studiodentisticomartinengo.com/,,,Savona,dentale,first_visit_path,1,OK,4,019808291,3472213365,rmartinengo70@hotmail.it,"Galleria Scarzeria 5/8, 17100 Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Roberto%20Cristiano%20Martinengo%20Savona,,3,6,5,4,0,2,4,4,5,1,3,,,,,0,1,1,1,0,3,100,ESCALATE
Studio Dentistico Parodi e Orengia,studiodentisticoparodi.it,https://www.studiodentisticoparodi.it/,,,Savona,dentale,first_visit_path,1,OK,6,019821408,3701099987,studioparodiorengia@gmail.com,"Piazza della Rovere 1/5, Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Parodi%20e%20Orengia%20Savona,,3,2,7,1,0,3,4,3,4,2,3,https://www.facebook.com/studioparodieassociati,,,,1,1,1,1,1,4,100,ESCALATE
