company,domain,city,vertical,target_segment,phone,mobile_phone,email,address,google_url,review_portal_url,source_url,vat_id,notes
Odontoiatrika,https://odontoiatrika.it/,Savona,dentale,first_visit_path,0194503960,3489211874,,,https://www.google.com/maps/search/Odontoiatrika%20Savona,,https://odontoiatrika.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Medico Dentistico Pisano - Savona,https://studiodentisticopisano.it/,Savona,dentale,first_visit_path,0192216555,3896587066,pisanomariafederica@gmail.com,"Via Nizza 76/R, 17100 Savona",https://www.google.com/maps/search/Studio%20Medico%20Dentistico%20Pisano%20-%20Savona%20Savona,,https://studiodentisticopisano.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Clindent Savona,https://www.clindent.it/centro-dentale/savona/,Savona,dentale,first_visit_path,0198933330,,info.savona@clindent.it,"Via C. Astengo 21, 17100 Savona",https://www.google.com/maps/search/Clindent%20Savona%20Savona,,https://www.clindent.it/centro-dentale/savona/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
Centro Odontoiatrico San Giovanni Savona,https://www.sangiovannisavona.it/,Savona,dentale,first_visit_path,,,sangiovannisavona@gmail.com,"Corso Ricci 177/R, 17100 Savona",https://www.google.com/maps/search/Centro%20Odontoiatrico%20San%20Giovanni%20Savona%20Savona,,https://www.sangiovannisavona.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
DentalPro Savona,https://www.dentalpro.it/centri/dentista-savona/,Savona,dentale,first_visit_path,019814315,,rec.savona@dentalpro.it,"Piazza Giulio II, 17100 Savona",https://www.google.com/maps/search/DentalPro%20Savona%20Savona,,https://www.dentalpro.it/centri/dentista-savona/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; struttura multi-sede
Casa della Salute Savona - Odontoiatria,https://cds.it/struttura/savona/,Savona,dentale,first_visit_path,,,,"Corso Ricci 203 R, Savona",https://www.google.com/maps/search/Casa%20della%20Salute%20Savona%20-%20Odontoiatria%20Savona,,https://cds.it/struttura/savona/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; poliambulatorio con odontoiatria
SmileCenter Savona,https://smilecentersavona.it/,Savona,dentale,first_visit_path,,,,,https://www.google.com/maps/search/SmileCenter%20Savona%20Savona,,https://smilecentersavona.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Odontoiatrico Bellini,https://www.studiodentisticobellinisv.it/,Savona,dentale,first_visit_path,,,,"Via Paolo Boselli 10/4, 17100 Savona",https://www.google.com/maps/search/Studio%20Odontoiatrico%20Bellini%20Savona,,https://www.studiodentisticobellinisv.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
Studio Dentistico Roberto Cristiano Martinengo,https://www.studiodentisticomartinengo.com/,Savona,dentale,first_visit_path,,,,"Galleria Scarzeria 5/8, 17100 Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Roberto%20Cristiano%20Martinengo%20Savona,,https://www.studiodentisticomartinengo.com/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring; benchmark/reference già presente nel progetto
Studio Dentistico Parodi e Orengia,https://www.studiodentisticoparodi.it/,Savona,dentale,first_visit_path,019821408,3701099987,studioparodiorengia@gmail.com,"Piazza della Rovere 1/5, Savona",https://www.google.com/maps/search/Studio%20Dentistico%20Parodi%20e%20Orengia%20Savona,,https://www.studiodentisticoparodi.it/,,Seed pubblico: sito ufficiale trovato via ricerca pubblica il 2026-08-25; identità/indirizzo/contatti da confermare con entity resolution prima dello scoring
